"subject_id","run","onset","requested_onset","delta_onset","shape_name","pressed","shouldhavepressed","correct","rt","outlier_location","rots","dils","outlier_type","onset_press"
"204","2",22005,22000,6,"isoTrapezoid","left_key","left_key",TRUE,982,3,"[1, 3, 0, 5, 2, 4]","[1, 0, 3, 2, 5, 4]","3",22987
"204","2",34005,34000,6,"square","right_key","right_key",TRUE,723,5,"[0, 5, 4, 3, 2, 1]","[1, 4, 3, 2, 5, 0]","4",34728
"204","2",38004,38000,5,"square","right_key","right_key",TRUE,784,0,"[1, 2, 0, 5, 3, 4]","[3, 0, 5, 4, 1, 2]","1",38788
"204","2",42004,42000,5,"square","right_key","right_key",TRUE,679,1,"[3, 0, 4, 2, 5, 1]","[1, 4, 0, 2, 5, 3]","3",42683
"204","2",46004,46000,5,"square","left_key","left_key",TRUE,1106,2,"[4, 3, 0, 2, 1, 5]","[4, 2, 5, 1, 3, 0]","2",47110
"204","2",50004,50000,5,"square","left_key","left_key",TRUE,767,3,"[4, 3, 5, 0, 1, 2]","[2, 3, 0, 1, 5, 4]","3",50771
"204","2",58003,58000,4,"rectangle","right_key","right_key",TRUE,767,0,"[1, 3, 4, 0, 5, 2]","[0, 4, 1, 2, 3, 5]","2",58770
"204","2",62003,62000,4,"rectangle","right_key","right_key",TRUE,774,1,"[1, 4, 3, 0, 2, 5]","[5, 0, 4, 1, 2, 3]","4",62777
"204","2",66003,66000,4,"rectangle","left_key","left_key",TRUE,758,3,"[4, 1, 2, 0, 3, 5]","[3, 0, 2, 4, 1, 5]","1",66761
"204","2",70003,70000,4,"rectangle","right_key","right_key",TRUE,976,5,"[4, 0, 1, 5, 3, 2]","[5, 1, 2, 0, 4, 3]","3",70979
"204","2",74003,74000,4,"rectangle","left_key","left_key",TRUE,934,4,"[0, 5, 1, 3, 4, 2]","[0, 2, 5, 4, 1, 3]","1",74937
"204","2",84002,84000,3,"losange","right_key","right_key",TRUE,1207,5,"[4, 2, 5, 0, 3, 1]","[3, 0, 4, 5, 2, 1]","4",85209
"204","2",88002,88000,3,"losange","right_key","right_key",TRUE,1120,1,"[4, 0, 3, 2, 5, 1]","[3, 5, 4, 2, 0, 1]","1",89122
"204","2",92002,92000,3,"losange","left_key","left_key",TRUE,1401,4,"[2, 3, 5, 4, 1, 0]","[3, 4, 5, 1, 0, 2]","2",93403
"204","2",96002,96000,3,"losange","left_key","left_key",TRUE,937,3,"[4, 3, 0, 1, 5, 2]","[5, 4, 3, 2, 0, 1]","3",96939
"204","2",100002,100000,3,"losange","right_key","right_key",TRUE,1418,0,"[0, 1, 5, 2, 3, 4]","[3, 2, 4, 0, 5, 1]","1",101420
"204","2",110001,110000,2,"hinge","left_key","left_key",TRUE,1093,3,"[5, 4, 3, 0, 2, 1]","[4, 5, 0, 3, 1, 2]","2",111094
"204","2",114001,114000,2,"hinge","right_key","right_key",TRUE,1698,5,"[4, 2, 3, 0, 1, 5]","[0, 5, 3, 1, 4, 2]","1",115699
"204","2",118001,118000,2,"hinge","right_key","right_key",TRUE,810,0,"[1, 5, 3, 0, 2, 4]","[2, 4, 3, 1, 5, 0]","4",118811
"204","2",122001,122000,2,"hinge","left_key","left_key",TRUE,1417,4,"[2, 1, 4, 0, 5, 3]","[1, 0, 5, 2, 3, 4]","3",123418
"204","2",126000,126000,1,"hinge","left_key","left_key",TRUE,2015,2,"[0, 1, 3, 4, 2, 5]","[4, 0, 1, 5, 3, 2]","1",128015
"204","2",138000,138000,1,"random","right_key","right_key",TRUE,1738,5,"[4, 1, 3, 0, 5, 2]","[2, 0, 4, 1, 5, 3]","3",139738
"204","2",142000,142000,1,"random","left_key","left_key",TRUE,776,4,"[0, 4, 1, 3, 5, 2]","[4, 1, 2, 5, 0, 3]","4",142776
"204","2",146000,146000,0,"random","left_key","left_key",TRUE,1777,2,"[3, 4, 5, 1, 2, 0]","[3, 4, 5, 0, 2, 1]","1",147777
"204","2",150008,150000,9,"random","right_key","right_key",TRUE,853,1,"[2, 0, 5, 3, 1, 4]","[3, 0, 5, 4, 1, 2]","2",150861
"204","2",154008,154000,9,"random","left_key","left_key",TRUE,928,3,"[1, 5, 2, 3, 4, 0]","[3, 2, 1, 5, 0, 4]","1",154936
"204","2",164007,164000,8,"rectangle","left_key","left_key",TRUE,922,3,"[0, 2, 4, 1, 3, 5]","[4, 1, 0, 5, 3, 2]","2",164929
"204","2",168007,168000,8,"rectangle","left_key","left_key",TRUE,613,2,"[1, 3, 0, 2, 4, 5]","[2, 0, 1, 3, 4, 5]","3",168620
"204","2",172007,172000,8,"rectangle","right_key","right_key",TRUE,713,1,"[0, 5, 4, 2, 1, 3]","[0, 3, 2, 1, 4, 5]","1",172720
"204","2",176007,176000,8,"rectangle","right_key","right_key",TRUE,980,5,"[5, 2, 3, 1, 4, 0]","[5, 1, 0, 4, 3, 2]","4",176987
"204","2",180006,180000,7,"rectangle","right_key","right_key",TRUE,651,0,"[3, 1, 2, 0, 4, 5]","[0, 2, 3, 1, 5, 4]","3",180657
"204","2",192006,192000,7,"isoTrapezoid","left_key","right_key",FALSE,1722,1,"[4, 1, 5, 0, 3, 2]","[5, 0, 3, 1, 4, 2]","2",193728
"204","2",196006,196000,7,"isoTrapezoid","left_key","left_key",TRUE,1302,2,"[5, 1, 3, 2, 0, 4]","[1, 4, 0, 3, 5, 2]","1",197308
"204","2",200006,200000,6,"isoTrapezoid","right_key","right_key",TRUE,1159,0,"[3, 0, 1, 5, 2, 4]","[2, 5, 3, 1, 4, 0]","4",201165
"204","2",204005,204000,6,"isoTrapezoid","right_key","right_key",TRUE,812,5,"[3, 5, 1, 0, 4, 2]","[1, 0, 3, 2, 4, 5]","3",204817
"204","2",208005,208000,6,"isoTrapezoid","left_key","left_key",TRUE,1314,3,"[0, 1, 3, 5, 2, 4]","[5, 0, 2, 3, 4, 1]","2",209319
"204","2",220004,220000,5,"hinge","right_key","right_key",TRUE,1180,5,"[0, 3, 2, 5, 4, 1]","[5, 1, 3, 2, 4, 0]","2",221184
"204","2",224004,224000,5,"hinge","left_key","left_key",TRUE,991,4,"[4, 0, 1, 5, 3, 2]","[5, 3, 2, 0, 1, 4]","3",224995
"204","2",228004,228000,5,"hinge","left_key","left_key",TRUE,1799,3,"[5, 0, 2, 4, 3, 1]","[0, 1, 5, 3, 2, 4]","4",229803
"204","2",232004,232000,5,"hinge","left_key","left_key",TRUE,1353,2,"[1, 3, 0, 5, 2, 4]","[2, 4, 1, 5, 3, 0]","1",233357
"204","2",236004,236000,5,"hinge","right_key","right_key",TRUE,757,1,"[5, 1, 2, 4, 0, 3]","[3, 5, 2, 0, 1, 4]","3",236761
"204","2",244003,244000,4,"random","left_key","right_key",FALSE,1513,5,"[3, 4, 1, 5, 0, 2]","[5, 3, 0, 1, 4, 2]","3",245516
"204","2",248003,248000,4,"random","right_key","right_key",TRUE,778,1,"[3, 5, 0, 2, 1, 4]","[2, 1, 0, 5, 3, 4]","1",248781
"204","2",252003,252000,4,"random","right_key","right_key",TRUE,1659,0,"[1, 4, 3, 5, 0, 2]","[2, 3, 1, 4, 0, 5]","4",253662
